prodName,lowPrice,highPrice,avgPrice,place,unitInfo
大白菜,0.35,0.45,0.4,冀,斤
娃娃菜,0.6,0.8,0.7,蒙,斤
小白菜,0.8,1.0,0.9,冀,斤
圆白菜,0.5,0.8,0.65,冀,斤
紫甘蓝,1.5,1.6,1.55,宁冀陕,斤
芹菜,1.0,1.4,1.2,冀鲁,斤
西芹,3.0,3.5,3.25,辽,斤
菠菜,0.8,1.3,1.05,冀蒙辽,斤
莴笋,1.3,2.0,1.65,鲁,斤
团生菜,1.0,1.5,1.25,冀,斤
罗马生菜,1.5,2.3,1.9,云京,斤
散叶生菜,1.0,1.5,1.25,冀京,斤
油菜,0.6,1.0,0.8,京鲁皖,斤
香菜,1.5,2.2,1.85,冀辽吉,斤
茴香,1.5,2.2,1.85,冀,斤
韭菜,2.0,3.0,2.5,冀粤,斤
苦菊,1.3,2.0,1.65,辽冀,斤
油麦菜,1.5,2.2,1.85,京,斤
散菜花,1.4,2.6,2.0,冀鲁云,斤
绿菜花,2.0,2.5,2.25,冀蒙鲁,斤
绿豆芽,0.95,1.0,0.98,,斤
黄豆芽,0.85,0.9,0.88,,斤
番茄,1.5,2.5,2.0,冀蒙,斤
番茄,3.0,3.6,3.3,冀蒙辽,斤
番茄,3.6,4.0,3.8,蒙,斤
黄瓜,1.0,1.6,1.3,辽冀津,斤
黄瓜,1.5,2.5,2.0,冀辽,斤
小黄瓜,2.5,3.2,2.85,辽鲁,斤
小黄瓜,4.0,4.2,4.1,辽鲁,斤
茄子,1.1,2.1,1.6,冀鲁云,斤
长茄,1.2,1.5,1.35,辽,斤
线茄,1.5,3.0,2.25,冀闽,斤
广茄,2.0,2.8,2.4,闽云,斤
冬瓜,1.2,1.4,1.3,桂粤闽豫,斤
冬瓜,0.9,1.0,0.95,冀新苏,斤
毛冬瓜,1.5,2.2,1.85,冀豫,斤
架豆,3.5,4.2,3.85,冀云,斤
豆王,3.0,4.0,3.5,云鲁冀,斤
扁豆,2.0,4.2,3.1,冀云鲁,斤
豇豆,3.5,4.5,4.0,冀云闽,斤
白豆,3.0,4.0,3.5,冀辽蒙,斤
油豆,4.0,4.3,4.15,鲁冀,斤
毛豆,3.0,4.0,3.5,云鄂,斤
花生,3.0,4.5,3.75,苏冀徽,斤
玉米,1.6,1.8,1.7,闽皖桂,斤
玉米,1.8,2.0,1.9,闽皖桂,斤
苦瓜,2.0,3.0,2.5,冀鲁,斤
丝瓜,2.0,3.5,2.75,豫冀鲁,斤
西葫芦,1.0,1.8,1.4,鲁云,斤
贝贝南瓜,1.6,2.0,1.8,蒙,斤
金丝南瓜,1.7,3.5,2.6,蒙鲁,斤
板栗南瓜,2.0,2.2,2.1,蒙新,斤
南北瓜,1.4,1.7,1.55,冀云川,斤
尖椒,2.0,3.5,2.75,冀辽鲁,斤
红尖椒,10.0,11.0,10.5,鲁,斤
美人椒,6.0,7.0,6.5,鲁,斤
螺丝椒,2.5,3.5,3.0,鲁冀,斤
柿子椒,1.5,3.0,2.25,鲁辽冀,斤
线椒,2.5,4.0,3.25,鲁冀,斤
杭椒,2.0,3.0,2.5,鲁冀辽,斤
小米椒,5.0,6.0,5.5,云,斤
